2025-07-15 15:17:18.779276 | Could not find volume number for G | Fail
2025-07-15 15:17:29.778553 | Fatal error: NextEvent.VolumeName | Fail
2025-07-15 15:17:43.397669 | USB inserted | Detected
2025-07-15 15:17:43.408063 | USB inserted | Detected
2025-07-15 15:17:44.172625 | Fatal error: [WinError 740] The requested operation requires elevation | Fail
2025-07-15 15:17:45.605891 | Could not find volume number for G | Fail
2025-07-15 15:17:55.501862 | USB access denied (USB disabled) | Intruder
2025-07-15 15:17:59.508074 | Photo captured | Success
2025-07-15 15:18:20.500799 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d2e1a72fcca58-74eb9f1b708sm12352976b3a.75 - gsmtp') | Fail
2025-07-17 10:05:10.271954 | Monitor started | Info
2025-07-17 10:28:40.674166 | Monitor started | Info
2025-07-17 10:28:49.776302 | USB inserted | Detected
2025-07-17 10:28:52.719972 | Could not find volume number for G | Fail
2025-07-17 10:29:12.462425 | USB access denied | Intruder
2025-07-17 10:29:19.225832 | Photo captured | Success
2025-07-17 10:29:22.293851 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 98e67ed59e1d1-31c9f288071sm2346943a91.29 - gsmtp') | Fail
2025-07-17 10:31:25.938711 | USB inserted | Detected
2025-07-17 10:31:28.809037 | Could not find volume number for G | Fail
2025-07-17 10:31:41.117265 | USB access denied (USB disabled) | Intruder
2025-07-17 10:31:47.276007 | Photo captured | Success
2025-07-17 10:31:49.320278 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 98e67ed59e1d1-31caf7aa70esm613580a91.6 - gsmtp') | Fail
2025-07-17 10:32:09.725688 | USB inserted | Detected
2025-07-17 10:32:12.157384 | Could not find volume number for G | Fail
2025-07-17 10:32:45.136712 | USB access denied (USB disabled) | Intruder
2025-07-17 10:32:49.965838 | Photo captured | Success
2025-07-17 10:32:52.048493 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 98e67ed59e1d1-31c9f1e67c1sm2360676a91.14 - gsmtp') | Fail
2025-07-18 09:06:54.645021 | Monitor started | Info
2025-07-18 09:35:35.851281 | Monitor started | Info
2025-07-18 09:35:40.761654 | USB inserted | Detected
2025-07-18 09:35:43.383302 | Could not find volume number for G | Fail
2025-07-18 09:36:13.132755 | USB access denied (USB disabled) | Intruder
2025-07-18 09:36:17.597240 | Photo captured | Success
2025-07-18 09:36:20.352024 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d9443c01a7336-23e3b6b4d04sm4275625ad.125 - gsmtp') | Fail
2025-07-18 09:37:06.598131 | Monitor started | Info
2025-07-18 11:06:34.777846 | Monitor started | Info
2025-07-18 11:07:22.265388 | USB inserted | Detected
2025-07-18 11:07:25.006768 | Could not find volume number for G | Fail
2025-07-18 11:07:35.887334 | USB access denied | Intruder
2025-07-18 11:07:40.576980 | Photo captured | Success
2025-07-18 11:07:44.036767 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d2e1a72fcca58-759c89d55eesm479874b3a.55 - gsmtp') | Fail
2025-07-18 11:09:09.820269 | Monitor started | Info
2025-07-18 11:09:15.817919 | USB inserted | Detected
2025-07-18 11:09:17.741177 | Could not find volume number for G | Fail
2025-07-18 11:10:00.237043 | Fatal error: NextEvent.VolumeName | Fail
2025-07-18 11:10:38.785283 | USB inserted | Detected
2025-07-18 11:10:40.775395 | Could not find volume number for G | Fail
2025-07-18 11:10:52.146368 | USB access denied (USB disabled) | Intruder
2025-07-18 18:27:09.651608 | Monitor started | Info
2025-07-18 18:27:32.241590 | USB inserted | Detected
2025-07-18 18:27:34.938621 | Could not find volume number for G | Fail
2025-07-18 18:28:03.330673 | USB access disabled by user | Info
2025-07-18 18:32:19.632829 | Monitor started | Info
2025-07-18 18:32:27.165013 | USB inserted | Detected
2025-07-18 18:32:29.829856 | Could not find volume number for G | Fail
2025-07-18 18:33:31.929955 | Fatal error: NextEvent.VolumeName | Fail
2025-07-18 18:33:46.037590 | USB inserted | Detected
2025-07-18 18:33:48.322276 | Could not find volume number for G | Fail
2025-07-18 18:34:02.427704 | USB access disabled by user | Info
2025-07-18 18:37:29.628632 | Monitor started | Info
2025-07-18 18:37:32.666942 | USB inserted | Detected
2025-07-18 18:37:34.693232 | Could not find volume number for G | Fail
